cl_method,steps,lr,num_epochs,CSR(T),AEFR(T),UKR(T),OKR(T),KG(T)
none_cl,0,0.0,0.0,0.5228125,0.0,0.802734375,0.52734375,0.3125
simple_cl,2124,3e-05,6.0,0.61375,0.9133505589113792,0.771484375,0.814453125,0.5109375
simple_cl,2268,5e-05,6.0,0.5809375,0.954297122498955,0.734375,0.83203125,0.4390625
simple_cl,4104,1e-05,12.0,0.6328125,0.8949776155270064,0.81640625,0.8671875,0.51484375
simple_cl,6102,1e-05,18.0,0.6287499999999999,0.9525846525290922,0.8125,0.857421875,0.51484375
