path,cl_method,steps,T,b,alpha,beta,gamma,AEFR(T),AUKR,AOKR,ACSR,AKG,AOEC,UKR(T),OKR(T),CSR(T),KG(T),OEC(T)
nli_nonecl_T=100|b=128|alpha=0.9|beta=0.5|gamma=0.8_offline=no_result.json,none_cl,0,100,128,0.9,0.5,0.8,0.0,0.91015625,0.6671875,0.6904262801924065,0.587890625,0.7139151637981016,0.91015625,0.62890625,0.6194531249999999,0.587890625,0.6866015624999999
nli_simplecl_lr=3e-5_ep=20_l2w=0_T=100|b=128|alpha=0.9|beta=0.5|gamma=0.8_result.json,simple_cl-l2w=0.0,12180,100,128,0.9,0.5,0.8,0.8254328416865357,0.8414417613636364,0.817578125,0.6777271183095495,0.6099964488636364,0.7366858633842056,0.77734375,0.6796875,0.6483593750000001,0.603515625,0.6772265625
nli_simplecl_lr=4e-5_ep=10_l2w=0_T=100|b=128|alpha=0.9|beta=0.5|gamma=0.8_result.json,simple_cl-l2w=0.0,6170,100,128,0.9,0.5,0.8,0.9982388241350627,0.8227982954545454,0.78984375,0.6653062980561024,0.5949041193181818,0.7182131157072074,0.8125,0.7421875,0.64296875,0.6044921875,0.700537109375
nli_simplecl_lr=3.5e-5_ep=10_l2w=0_T=100|b=128|alpha=0.9|beta=0.5|gamma=0.8_result.json,simple_cl-l2w=0.0,6080,100,128,0.9,0.5,0.8,0.9996451914098974,0.8409090909090909,0.805078125,0.6765273035999941,0.6042258522727273,0.731685092945453,0.8125,0.78515625,0.6461718750000001,0.6357421875,0.7198925781250001
nli_oewc_lr=4e-5_ep=10_lbd=250_gm=9e-1_T=100|b=128|alpha=0.9|beta=0.5|gamma=0.8_result.json,online_ewc-250.0-0.9,6310,100,128,0.9,0.5,0.8,0.9998181818181818,0.8121448863636364,0.800390625,0.665525672033662,0.5921519886363636,0.7175532930084155,0.794921875,0.740234375,0.6365624999999999,0.6064453125,0.694541015625
nli_oewc_lr=3.5e-5_ep=10_lbd=250_gm=9e-1_T=100|b=128|alpha=0.9|beta=0.5|gamma=0.8_result.json,online_ewc-250.0-0.9,5810,100,128,0.9,0.5,0.8,0.9990201213479167,0.8318536931818182,0.817578125,0.6989310621672604,0.6087535511363636,0.7392791078713606,0.802734375,0.802734375,0.663671875,0.6650390625,0.733544921875
nli_oewc_lr=3e-5_ep=20_lbd=250_gm=9e-1_T=100|b=128|alpha=0.9|beta=0.5|gamma=0.8_result.json,online_ewc-250.0-0.9,11600,100,128,0.9,0.5,0.8,0.8590817857046886,0.830078125,0.8208984375,0.6892956114233586,0.607421875,0.7369235122308396,0.79296875,0.740234375,0.66328125,0.6103515625,0.701708984375
nli_er_lr=3e-5_ep=20_l2w=0_rs=32_rf=3_T=100|b=128|alpha=0.9|beta=0.5|gamma=0.8_result.json,er-32-3-l2w=0.0,13580,100,128,0.9,0.5,0.8,0.7362862716993152,0.8709161931818182,0.8677734375,0.7098332230883722,0.6295276988636364,0.7695126381584566,0.86328125,0.8203125,0.685546875,0.6630859375,0.758056640625
nli_er_lr=4e-5_ep=10_l2w=0_rs=32_rf=1_T=100|b=128|alpha=0.9|beta=0.5|gamma=0.8_result.json,er-32-1-l2w=0.0,9200,100,128,0.9,0.5,0.8,0.9895764826103666,0.8693181818181818,0.878515625,0.7289003177347837,0.6302379261363636,0.7767430126723324,0.875,0.861328125,0.69796875,0.6572265625,0.7728808593750001
nli_er_lr=3e-5_ep=10_l2w=0_rs=32_rf=1_T=100|b=128|alpha=0.9|beta=0.5|gamma=0.8_result.json,er-32-1-l2w=0.0,9030,100,128,0.9,0.5,0.8,0.9881680590851143,0.8821022727272727,0.8873046875,0.74081865637966,0.6417791193181818,0.7880011839812786,0.884765625,0.873046875,0.709921875,0.6640625,0.78294921875
