path,cl_method,steps,T,b,alpha,beta,gamma,AEFR(T),AUKR,AOKR,ACSR,AKG,AOEC,UKR(T),OKR(T),CSR(T),KG(T),OEC(T)
nli_nonecl_T=100|b=256|alpha=0.9|beta=0.5|gamma=0.8_offline=no_result.json,none_cl,0,100,256,0.9,0.5,0.8,0.0,0.91015625,0.650390625,0.6663309098947665,0.587890625,0.7036921024736916,0.91015625,0.595703125,0.630078125,0.587890625,0.68095703125
nli_simplecl_lr=3e-5_ep=10_l2w=0_T=100|b=256|alpha=0.9|beta=0.5|gamma=0.8_result.json,simple_cl-l2w=0.0,9800,100,256,0.9,0.5,0.8,0.9655506227818116,0.8487215909090909,0.841015625,0.7226114097459881,0.6323686079545454,0.7611793084024062,0.84765625,0.876953125,0.7075390625,0.68359375,0.778935546875
nli_simplecl_lr=4e-5_ep=10_l2w=0_T=100|b=256|alpha=0.9|beta=0.5|gamma=0.8_result.json,simple_cl-l2w=0.0,9880,100,256,0.9,0.5,0.8,0.9642939659212469,0.8267045454545454,0.838671875,0.7152381121318001,0.6295276988636364,0.7525355578624954,0.8359375,0.89453125,0.7046875,0.671875,0.7767578125
nli_oewc_lr=3e-5_ep=10_lbd=250_gm=9e-1_T=100|b=256|alpha=0.9|beta=0.5|gamma=0.8_result.json,online_ewc-250.0-0.9,9880,100,256,0.9,0.5,0.8,0.9613013077884216,0.8481889204545454,0.834375,0.7179015731774916,0.6233132102272727,0.7559446759648274,0.853515625,0.8515625,0.70484375,0.666015625,0.768984375
nli_oewc_lr=4e-5_ep=10_lbd=250_gm=9e-1_T=100|b=256|alpha=0.9|beta=0.5|gamma=0.8_result.json,online_ewc-250.0-0.9,9900,100,256,0.9,0.5,0.8,0.9686210864583731,0.8265269886363636,0.822265625,0.7062485091496871,0.6342329545454546,0.7473185193328763,0.74609375,0.787109375,0.7030468750000001,0.6435546875,0.719951171875
nli_er_lr=3e-5_ep=10_l2w=0_rs=32_rf=3_T=100|b=256|alpha=0.9|beta=0.5|gamma=0.8_result.json,er-32-3-l2w=0.0,10580,100,256,0.9,0.5,0.8,0.8784958082225112,0.8831676136363636,0.86171875,0.7275343455591435,0.6447088068181818,0.7792823790034222,0.8828125,0.873046875,0.7234375,0.68359375,0.79072265625
nli_er_lr=4e-5_ep=10_l2w=0_rs=32_rf=3_T=100|b=256|alpha=0.9|beta=0.5|gamma=0.8_result.json,er-32-3-l2w=0.0,10770,100,256,0.9,0.5,0.8,0.8733658218098718,0.8558238636363636,0.857421875,0.7193303971700307,0.6289950284090909,0.7653927910538714,0.865234375,0.884765625,0.7179296875000001,0.6591796875,0.78177734375
nli_mir_lr=3e-5_ep=10_l2w=0_rs=32_rf=3_mcs=256_none_T=100|b=256|alpha=0.9|beta=0.5|gamma=0.8_result.json,mir-32/256-3-none-l2w=0.0,10680,100,256,0.9,0.5,0.8,0.8649241809088608,0.8375355113636364,0.86171875,0.7203264678032799,0.6488813920454546,0.7671155303030927,0.87109375,0.88671875,0.72,0.7001953125,0.7945019531249999
nli_mir_lr=4e-5_ep=10_l2w=0_rs=32_rf=3_mcs=256_none_T=100|b=256|alpha=0.9|beta=0.5|gamma=0.8_result.json,mir-32/256-3-none-l2w=0.0,11110,100,256,0.9,0.5,0.8,0.8503059723311214,0.779296875,0.82109375,0.7116029720934546,0.6159446022727273,0.7319845498415454,0.81640625,0.865234375,0.707578125,0.6533203125,0.760634765625
nli_mir_lr=3e-5_ep=10_l2w=0_rs=32_rf=3_mcs=256_largest_afterloss_T=100|b=256|alpha=0.9|beta=0.5|gamma=0.8_result.json,mir-32/256-3-largest_afterloss-l2w=0.0,10870,100,256,0.9,0.5,0.8,0.8634604063478655,0.8283025568181818,0.86328125,0.7207800336628094,0.63671875,0.7622706476202478,0.8359375,0.89453125,0.71625,0.68359375,0.782578125
nli_mir_lr=4e-5_ep=10_l2w=0_rs=32_rf=3_mcs=256_largest_afterloss_T=100|b=256|alpha=0.9|beta=0.5|gamma=0.8_result.json,mir-32/256-3-largest_afterloss-l2w=0.0,11450,100,256,0.9,0.5,0.8,0.8208580214444404,0.8256392045454546,0.8150390625,0.7026691197817825,0.6163884943181818,0.7399339702863547,0.859375,0.8359375,0.698125,0.6708984375,0.766083984375
