cl_method,model_update_steps,lr,num_epochs,CSR(T),AEFR(T),UKR(T),OKR(T),KG(T)
none_cl,0,0.0,0.0,0.48015624999999995,0.0,0.802734375,0.482421875,0.3125
simple_cl,354,1e-05,1.0,0.618125,0.06348262949270796,0.7890625,0.689453125,0.3671875
simple_cl,960,1e-05,3.0,0.6565624999999999,0.3191975414012322,0.791015625,0.796875,0.40234375
simple_cl,1812,1e-05,6.0,0.6803125,0.6344423710644562,0.779296875,0.84375,0.396875
simple_cl,336,3e-05,1.0,0.63671875,0.19423589928347995,0.78125,0.76953125,0.390625
simple_cl,954,3e-05,3.0,0.66171875,0.6192469038423297,0.787109375,0.814453125,0.3953125
simple_cl,1854,3e-05,6.0,0.6699999999999999,0.8889767345091708,0.76171875,0.8671875,0.375
simple_cl,334,5e-05,1.0,0.63890625,0.2719890237231505,0.783203125,0.83203125,0.35703125
simple_cl,954,5e-05,3.0,0.6487499999999999,0.7290764998465035,0.732421875,0.83203125,0.37265625
simple_cl,1968,5e-05,6.0,0.64359375,0.9208874993248293,0.703125,0.845703125,0.3765625
er-32,2073,1e-05,3.0,0.68828125,0.5002363320824891,0.845703125,0.869140625,0.41953125
mir-32/256,2076,1e-05,3.0,0.6832812500000001,0.48936716058192364,0.7734375,0.79296875,0.378125
mir-32/512,2085,1e-05,3.0,0.68046875,0.46416993858402833,0.833984375,0.859375,0.39921875
