cl_method,model_update_steps,lr,num_epochs,CSR(T),AEFR(T),UKR(T),OKR(T),KG(T)
none_cl,0,0.0,0.0,0.5228125,0.0,0.802734375,0.52734375,0.3125
simple_cl,357,1e-05,1.0,0.61,0.0658491324634996,0.798828125,0.626953125,0.496875
simple_cl,1026,1e-05,3.0,0.6268750000000001,0.2914314394141659,0.7890625,0.724609375,0.5
simple_cl,2052,1e-05,6.0,0.63203125,0.6147079599354348,0.79296875,0.802734375,0.51953125
simple_cl,4104,1e-05,12.0,0.6328125,0.8949776155270064,0.81640625,0.8671875,0.51484375
simple_cl,6102,1e-05,18.0,0.6287499999999999,0.9525846525290922,0.8125,0.857421875,0.51484375
simple_cl,353,3e-05,1.0,0.61375,0.15530494692628832,0.78515625,0.71484375,0.49609375
simple_cl,1050,3e-05,3.0,0.6153124999999999,0.6010585039294375,0.791015625,0.771484375,0.52578125
simple_cl,2124,3e-05,6.0,0.61375,0.9133505589113792,0.771484375,0.814453125,0.5109375
simple_cl,353,5e-05,1.0,0.610625,0.2345004972886623,0.7421875,0.736328125,0.484375
simple_cl,1098,5e-05,3.0,0.59453125,0.7293268616849512,0.697265625,0.7421875,0.49375
simple_cl,2268,5e-05,6.0,0.5809375,0.954297122498955,0.734375,0.83203125,0.4390625
er-32,2166,1e-05,3.0,0.64234375,0.46316785380751296,0.828125,0.798828125,0.51796875
mir-128/256,5691,1e-05,3.0,0.64953125,0.5473230042082818,0.83984375,0.873046875,0.52578125
mir-128/512,5706,1e-05,3.0,0.6428125,0.5431447471927969,0.837890625,0.87890625,0.51484375
mir-32/256,2172,1e-05,3.0,0.6404687499999999,0.45155154933594077,0.80859375,0.8359375,0.5015625
mir-32/512,2169,1e-05,3.0,0.641875,0.4324522212010819,0.826171875,0.826171875,0.5234375
mir-64/256,3372,1e-05,3.0,0.639375,0.517370330352152,0.814453125,0.8125,0.49921875
mir-64/512,3369,1e-05,3.0,0.6425000000000001,0.5075170137243984,0.810546875,0.83203125,0.515625
