path,cl_method,steps,T,b,alpha,beta,gamma,AEFR(T),AUKR,AOKR,ACSR,AKG,AOEC,UKR(T),OKR(T),CSR(T),KG(T),OEC(T)
qa_nonecl_T=100|b=64|alpha=0.9|beta=0.5|gamma=0.5_offline=no_result.json,none_cl,0,100,64,0.9,0.5,0.5,0.0,0.802734375,0.44765625,0.4688545180191827,0.3125,0.5079362857547958,0.802734375,0.392578125,0.37421875000000004,0.3125,0.4705078125
qa_simplecl_lr=3e-5_ep=10_l2w=0_T=100|b=64|alpha=0.9|beta=0.5|gamma=0.5_result.json,simple_cl-l2w=0.0,4160,100,64,0.9,0.5,0.5,0.9719782312315178,0.7189275568181818,0.8279296875,0.5684656734220934,0.4536931818181818,0.6422540248896143,0.69921875,0.841796875,0.53734375,0.4984375,0.64419921875
qa_oewc_lr=3e-5_ep=10_lbd=250_gm=9e-1_T=100|b=64|alpha=0.9|beta=0.5|gamma=0.5_result.json,online_ewc-250.0-0.9,4180,100,64,0.9,0.5,0.5,0.9722585171546505,0.7233664772727273,0.8314453125,0.561023813993439,0.4576704545454545,0.6433765145779051,0.705078125,0.814453125,0.53078125,0.48046875,0.6326953125
qa_er_lr=3e-5_ep=10_l2w=0_rs=32_rf=3_T=100|b=64|alpha=0.9|beta=0.5|gamma=0.5_result.json,er-32-3-l2w=0.0,5410,100,64,0.9,0.5,0.5,0.9698801149149462,0.7551491477272727,0.8494140625,0.5707816167935177,0.4639914772727273,0.6598340760733794,0.76171875,0.8359375,0.54640625,0.50390625,0.6619921875
qa_mir_lr=3e-5_ep=10_l2w=0_rs=32_rf=3_mcs=256_none_T=100|b=64|alpha=0.9|beta=0.5|gamma=0.5_result.json,mir-32/256-3-none-l2w=0.0,5390,100,64,0.9,0.5,0.5,0.9727153699683313,0.7523082386363636,0.86171875,0.5738456910996161,0.4654119318181818,0.6633211528885404,0.748046875,0.869140625,0.546875,0.49609375,0.6650390625
