path,cl_method,steps,T,b,alpha,beta,gamma,AEFR(T),AUKR,AOKR,ACSR,AKG,AOEC,UKR(T),OKR(T),CSR(T),KG(T),OEC(T)
qa_nonecl_T=100|b=64|alpha=0.95|beta=0.5|gamma=0.8_offline=no_result.json,none_cl,0,100,64,0.95,0.5,0.8,0.0,0.802734375,0.5142578125,0.5284257021706291,0.3125,0.5394794724176573,0.802734375,0.423828125,0.40546875000000004,0.3125,0.4861328125
qa_simplecl_lr=3e-5_ep=10_l2w=0_T=100|b=64|alpha=0.95|beta=0.5|gamma=0.8_result.json,simple_cl-l2w=0.0,3920,100,64,0.95,0.5,0.8,0.9751375346860565,0.7489346590909091,0.840625,0.610996736986716,0.46029829545454537,0.6652136728830425,0.697265625,0.837890625,0.55953125,0.50703125,0.6504296875
qa_oewc_lr=3e-5_ep=10_lbd=250_gm=9e-1_T=100|b=64|alpha=0.95|beta=0.5|gamma=0.8_result.json,online_ewc-250.0-0.9,3990,100,64,0.95,0.5,0.8,0.9770613402523132,0.736328125,0.83671875,0.6029158353342141,0.43714488636363635,0.6532768991744625,0.6875,0.796875,0.5540625,0.47265625,0.6277734375
qa_er_lr=3e-5_ep=10_l2w=0_rs=32_rf=3_T=100|b=64|alpha=0.95|beta=0.5|gamma=0.8_result.json,er-32-3-l2w=0.0,5210,100,64,0.95,0.5,0.8,0.9735855753922599,0.7658025568181818,0.8712890625,0.6056696912161338,0.45568181818181813,0.6746107821790335,0.744140625,0.82421875,0.56359375,0.4953125,0.6568164062499999
qa_mir_lr=3e-5_ep=10_l2w=0_rs=32_rf=3_mcs=256_none_T=100|b=64|alpha=0.95|beta=0.5|gamma=0.8_result.json,mir-32/256-3-none-l2w=0.0,5220,100,64,0.95,0.5,0.8,0.9721873372556259,0.7601207386363636,0.868359375,0.6098876593125381,0.44921875,0.6718966307372254,0.751953125,0.865234375,0.565,0.5140625,0.6740625
