path,cl_method,steps,T,b,alpha,beta,gamma,AEFR(T),AUKR,AOKR,ACSR,AKG,AOEC,UKR(T),OKR(T),CSR(T),KG(T),OEC(T)
qa_nonecl_T=100|b=64|alpha=0.9|beta=0.9|gamma=0.8_offline=no_result.json,none_cl,0,100,64,0.9,0.9,0.8,0.0,0.802734375,0.381640625,0.4126915669288389,0.3125,0.4773916417322097,0.802734375,0.244140625,0.2878125,0.3125,0.411796875
qa_simplecl_lr=3e-5_ep=10_l2w=0_T=100|b=64|alpha=0.9|beta=0.9|gamma=0.8_result.json,simple_cl-l2w=0.0,4130,100,64,0.9,0.9,0.8,0.9806057226549137,0.7247869318181818,0.841015625,0.5596958132817689,0.4642755681818182,0.6474434845704423,0.69921875,0.83984375,0.54640625,0.49765625,0.64578125
qa_oewc_lr=3e-5_ep=10_lbd=250_gm=9e-1_T=100|b=64|alpha=0.9|beta=0.9|gamma=0.8_result.json,online_ewc-250.0-0.9,4150,100,64,0.9,0.9,0.8,0.9777334590834948,0.7219460227272727,0.8478515625,0.5480611537166682,0.46313920454545454,0.6452494858723488,0.712890625,0.8515625,0.5359375,0.5125,0.6532226562500001
qa_er_lr=3e-5_ep=10_l2w=0_rs=32_rf=3_T=100|b=64|alpha=0.9|beta=0.9|gamma=0.8_result.json,er-32-3-l2w=0.0,5390,100,64,0.9,0.9,0.8,0.9740338368312524,0.7677556818181818,0.8642578125,0.5630519461352468,0.4649857954545454,0.6650128089769934,0.77734375,0.880859375,0.5465625000000001,0.4953125,0.67501953125
qa_mir_lr=3e-5_ep=10_l2w=0_rs=32_rf=3_mcs=256_none_T=100|b=64|alpha=0.9|beta=0.9|gamma=0.8_result.json,mir-32/256-3-none-l2w=0.0,5370,100,64,0.9,0.9,0.8,0.9778914320461348,0.7547940340909091,0.86875,0.5611298973493397,0.4651278409090909,0.6624504430873348,0.771484375,0.857421875,0.5490625,0.5109375,0.6722265624999999
