path,cl_method,steps,T,b,alpha,beta,gamma,AEFR(T),AUKR,AOKR,ACSR,AKG,AOEC,UKR(T),OKR(T),CSR(T),KG(T),OEC(T)
qa_nonecl_T=100|b=64|alpha=0.9|beta=0.1|gamma=0.8_offline=no_result.json,none_cl,0,100,64,0.9,0.1,0.8,0.0,0.802734375,0.4171875,0.4387147636889496,0.3125,0.49278415967223743,0.802734375,0.33984375,0.36234374999999996,0.3125,0.45435546875
qa_simplecl_lr=3e-5_ep=10_l2w=0_T=100|b=64|alpha=0.9|beta=0.1|gamma=0.8_result.json,simple_cl-l2w=0.0,4110,100,64,0.9,0.1,0.8,0.9695998738294247,0.7038352272727273,0.8216796875,0.5656504030685138,0.4594460227272727,0.6376528351421284,0.6953125,0.798828125,0.5415625,0.4734375,0.62728515625
qa_oewc_lr=3e-5_ep=10_lbd=250_gm=9e-1_T=100|b=64|alpha=0.9|beta=0.1|gamma=0.8_result.json,online_ewc-250.0-0.9,4080,100,64,0.9,0.1,0.8,0.9735224559220179,0.7075639204545454,0.8193359375,0.5631471941278818,0.4563210227272727,0.636592018702425,0.697265625,0.8046875,0.54453125,0.47578125,0.6305664062499999
qa_er_lr=3e-5_ep=10_l2w=0_rs=32_rf=3_T=100|b=64|alpha=0.9|beta=0.1|gamma=0.8_result.json,er-32-3-l2w=0.0,5320,100,64,0.9,0.1,0.8,0.9708109532343685,0.759765625,0.8537109375,0.5715715911203484,0.4773437500000001,0.6655979759050872,0.779296875,0.853515625,0.5484375,0.50078125,0.6705078124999999
qa_mir_lr=3e-5_ep=10_l2w=0_rs=32_rf=3_mcs=256_none_T=100|b=64|alpha=0.9|beta=0.1|gamma=0.8_result.json,mir-32/256-3-none-l2w=0.0,5340,100,64,0.9,0.1,0.8,0.9706789546787721,0.7428977272727273,0.8537109375,0.5651830756462111,0.4664772727272727,0.6570672532865528,0.7421875,0.83984375,0.5478125,0.4921875,0.6555078125
