cl_method,model_update_steps,lr,num_epochs,CSR(T),AEFR(T),UKR(T),OKR(T),KG(T)
none_cl,0,0.0,0.0,0.521875,0.0,0.802734375,0.568359375,0.3125
simple_cl,348,1e-05,1.0,0.6128125,0.06788519047264899,0.806640625,0.66015625,0.48125
simple_cl,1005,1e-05,3.0,0.6387499999999999,0.3016206243943822,0.8046875,0.7890625,0.5140625
simple_cl,1962,1e-05,6.0,0.64375,0.6060429249795871,0.78125,0.818359375,0.528125
simple_cl,343,3e-05,1.0,0.62390625,0.17292288581917376,0.787109375,0.748046875,0.50625
simple_cl,1008,3e-05,3.0,0.6325000000000001,0.5927013092565813,0.736328125,0.7734375,0.49765625
simple_cl,2088,3e-05,6.0,0.6231249999999999,0.8877959554359706,0.77734375,0.87109375,0.525
simple_cl,346,5e-05,1.0,0.620625,0.24868822453277847,0.716796875,0.728515625,0.4796875
simple_cl,1077,5e-05,3.0,0.60703125,0.7285407930852359,0.705078125,0.78515625,0.4984375
simple_cl,2190,5e-05,6.0,0.59453125,0.9494752599117894,0.708984375,0.759765625,0.43984375
mir-32/256,2151,1e-05,3.0,0.64890625,0.454874202944915,0.8359375,0.826171875,0.5015625
mir-32/512,2136,1e-05,3.0,0.651875,0.4502257501252803,0.826171875,0.833984375,0.5015625
