path,cl_method,steps,T,b,alpha,beta,gamma,AEFR(T),AUKR,AOKR,ACSR,AKG,AOEC,UKR(T),OKR(T),CSR(T),KG(T),OEC(T)
qa_nonecl_T=100|b=64|alpha=0.1|beta=0.5|gamma=0.8_offline=no_result.json,none_cl,0,100,64,0.1,0.5,0.8,0.0,0.802734375,0.3162109375,0.3311973553260901,0.3125,0.4406606669565225,0.802734375,0.349609375,0.31765625,0.3125,0.445625
qa_simplecl_lr=3e-5_ep=10_l2w=0_T=100|b=64|alpha=0.1|beta=0.5|gamma=0.8_result.json,simple_cl-l2w=0.0,4390,100,64,0.1,0.5,0.8,0.9776696116351801,0.7233664772727273,0.8189453125,0.4868738947481039,0.4636363636363637,0.6232055120392987,0.7109375,0.833984375,0.505,0.53125,0.64529296875
qa_oewc_lr=3e-5_ep=10_lbd=250_gm=9e-1_T=100|b=64|alpha=0.1|beta=0.5|gamma=0.8_result.json,online_ewc-250.0-0.9,4370,100,64,0.1,0.5,0.8,0.9784205150176964,0.7086292613636364,0.811328125,0.49583479364276106,0.4666193181818182,0.620602874547054,0.705078125,0.83203125,0.5128125,0.53671875,0.64666015625
qa_er_lr=3e-5_ep=10_l2w=0_rs=32_rf=3_T=100|b=64|alpha=0.1|beta=0.5|gamma=0.8_result.json,er-32-3-l2w=0.0,5610,100,64,0.1,0.5,0.8,0.9753803579929838,0.755859375,0.828125,0.5000775930150404,0.46598011363636366,0.637510520412851,0.75390625,0.849609375,0.52203125,0.5359375,0.6653710937499999
qa_mir_lr=3e-5_ep=10_l2w=0_rs=32_rf=3_mcs=256_none_T=100|b=64|alpha=0.1|beta=0.5|gamma=0.8_result.json,mir-32/256-3-none-l2w=0.0,5540,100,64,0.1,0.5,0.8,0.975840567217586,0.7489346590909091,0.8529296875,0.4998100543829528,0.4725852272727273,0.6435649070616473,0.76171875,0.875,0.525,0.50234375,0.666015625
qa_mir_lr=3e-5_ep=10_l2w=0_rs=32_rf=3_mcs=256_largest_afterloss_T=100|b=64|alpha=0.1|beta=0.5|gamma=0.8_result.json,mir-32/256-3-largest_afterloss-l2w=0.0,5600,100,64,0.1,0.5,0.8,0.9803874909197619,0.7528409090909091,0.8376953125,0.5015453396128937,0.46186079545454545,0.6384855891645871,0.765625,0.88671875,0.52484375,0.52578125,0.6757421875
