cl_method,model_update_steps,lr,num_epochs,CSR(T),AEFR(T),UKR(T),OKR(T),KG(T)
none_cl,0,0.0,0.0,0.33546875,0.0,0.802734375,0.373046875,0.3125
simple_cl,451,1e-05,1.0,0.48796874999999995,0.06101627797564009,0.7421875,0.58203125,0.478125
simple_cl,1293,1e-05,3.0,0.5190625,0.3059756246278534,0.73046875,0.67578125,0.50390625
simple_cl,2478,1e-05,6.0,0.5378125,0.6001442689036663,0.73828125,0.75,0.51171875
simple_cl,438,3e-05,1.0,0.50890625,0.16376470469311843,0.72265625,0.642578125,0.49453125
simple_cl,1254,3e-05,3.0,0.52734375,0.6014325067136403,0.716796875,0.77734375,0.5015625
simple_cl,2508,3e-05,6.0,0.530625,0.9105743670885922,0.708984375,0.82421875,0.5046875
simple_cl,439,5e-05,1.0,0.5065625,0.24331200585802956,0.681640625,0.62109375,0.4828125
simple_cl,1317,5e-05,3.0,0.50390625,0.7348771007387209,0.615234375,0.720703125,0.4609375
simple_cl,2742,5e-05,6.0,0.48624999999999996,0.9582784212505807,0.662109375,0.791015625,0.45234375
er-32,2412,1e-05,3.0,0.5467187499999999,0.42332382668158913,0.81640625,0.748046875,0.53515625
mir-32/256,2421,1e-05,3.0,0.5392187500000001,0.4202247750903704,0.830078125,0.759765625,0.534375
mir-32/512,2448,1e-05,3.0,0.534375,0.4116318595982901,0.814453125,0.76953125,0.5375
