path,cl_method,steps,T,b,alpha,beta,gamma,AEFR(T),AUKR,AOKR,ACSR,AKG,AOEC,UKR(T),OKR(T),CSR(T),KG(T),OEC(T)
qa_nonecl_T=100|b=64|alpha=0.9|beta=0.5|gamma=0.2_offline=no_result.json,none_cl,0,100,64,0.9,0.5,0.2,0.0,0.802734375,0.4296875,0.4478200556734792,0.3125,0.4981854826683698,0.802734375,0.341796875,0.3528125,0.3125,0.4524609375
qa_simplecl_lr=3e-5_ep=10_l2w=0_T=100|b=64|alpha=0.9|beta=0.5|gamma=0.2_result.json,simple_cl-l2w=0.0,4180,100,64,0.9,0.5,0.2,0.9772452271812864,0.744140625,0.8369140625,0.5635056958638209,0.4536931818181818,0.6495633912955007,0.693359375,0.8515625,0.5296875,0.4796875,0.63857421875
qa_oewc_lr=3e-5_ep=10_lbd=250_gm=9e-1_T=100|b=64|alpha=0.9|beta=0.5|gamma=0.2_result.json,online_ewc-250.0-0.9,4180,100,64,0.9,0.5,0.2,0.9801411318947632,0.7290482954545454,0.8375,0.5656835193342648,0.45276988636363635,0.6462504252881116,0.6953125,0.869140625,0.5353125000000001,0.48515625,0.64623046875
qa_er_lr=3e-5_ep=10_l2w=0_rs=32_rf=3_T=100|b=64|alpha=0.9|beta=0.5|gamma=0.2_result.json,er-32-3-l2w=0.0,5440,100,64,0.9,0.5,0.2,0.9751678883361053,0.7615411931818182,0.8548828125,0.5668114859068343,0.4671164772727273,0.6625879922153449,0.763671875,0.83984375,0.5365625,0.50078125,0.66021484375
qa_mir_lr=3e-5_ep=10_l2w=0_rs=32_rf=3_mcs=256_none_T=100|b=64|alpha=0.9|beta=0.5|gamma=0.2_result.json,mir-32/256-3-none-l2w=0.0,5470,100,64,0.9,0.5,0.2,0.9764284289342866,0.7569247159090909,0.8546875,0.5675640196351742,0.45362215909090914,0.6581995986587936,0.74609375,0.876953125,0.5375,0.4734375,0.6584960937500001
